ID,Umur,Pendidikan,Pendapatan,Status Nikah
1,25.0,SMA,NaN,Belum
2,28.0,D3,4500000.0,Kawin
3,35.0,S1,NaN,Kawin
4,40.0,SMA,NaN,Belum
5,22.0,SMA,3800000.0,Belum
6,30.0,D3,4600000.0,Kawin
7,NaN,SMA,NaN,Belum
8,32.0,S2,6000000.0,NaN
9,45.0,S1,NaN,NaN
10,50.0,S2,7000000.0,NaN
11,NaN,SMA,NaN,NaN
12,29.0,D3,4400000.0,NaN
13,33.0,SMA,NaN,Belum
14,31.0,S1,NaN,NaN
15,38.0,SMA,NaN,Belum
16,26.0,SMA,4100000.0,Belum
17,NaN,SMA,NaN,Belum
18,36.0,D3,4700000.0,Kawin
19,34.0,S2,6800000.0,NaN
20,23.0,SMA,NaN,Belum
21,55.0,S1,9652491.0,Kawin
22,74.0,SMA,NaN,Kawin
23,40.0,SMA,6314063.0,Kawin
24,40.0,S1,7884978.0,NaN
25,76.0,SMA,6193569.0,Kawin
26,65.0,D3,5586719.0,Kawin
27,44.0,S2,11623434.0,Belum
28,60.0,D3,7336132.0,Kawin
29,19.0,S1,8369852.0,Kawin
30,NaN,S2,14869156.0,Belum
31,25.0,SMA,NaN,NaN
32,60.0,SMA,5377294.0,Kawin
33,NaN,SMA,NaN,Kawin
34,70.0,D3,NaN,Kawin
35,79.0,S1,NaN,Belum
36,47.0,S2,10434155.0,Kawin
37,39.0,D3,7763486.0,NaN
38,NaN,SMA,7313416.0,NaN
39,57.0,SMA,NaN,Kawin
40,79.0,S1,7359861.0,Belum
41,51.0,S1,9838128.0,Belum
42,44.0,S1,9208322.0,Belum
43,NaN,SMA,7175153.0,Belum
44,60.0,D3,6376101.0,NaN
45,17.0,SMA,5252989.0,Kawin
46,43.0,D3,8284208.0,Kawin
47,58.0,SMA,NaN,NaN
48,77.0,D3,NaN,Belum
49,39.0,D3,6081403.0,Belum
50,23.0,SMA,NaN,NaN
51,18.0,D3,6889677.0,Kawin
52,60.0,SMA,5747067.0,Belum
53,27.0,SMA,5737899.0,NaN
54,17.0,SMA,5310721.0,Kawin
55,68.0,SMA,5303756.0,Kawin
56,78.0,SMA,5594685.0,Kawin
57,NaN,SMA,5613501.0,Kawin
58,68.0,SMA,5544137.0,Belum
59,NaN,SMA,6869381.0,Kawin
60,72.0,SMA,6803989.0,Belum
61,18.0,SMA,5935930.0,NaN
62,78.0,SMA,5806895.0,Kawin
63,48.0,D3,6737373.0,Kawin
64,33.0,S1,9202391.0,Kawin
65,68.0,S2,13827075.0,NaN
66,25.0,SMA,5688433.0,Kawin
67,45.0,S1,NaN,Belum
68,79.0,SMA,NaN,Belum
69,NaN,S2,12642019.0,NaN
70,27.0,SMA,NaN,Kawin
71,39.0,D3,NaN,Kawin
72,64.0,D3,NaN,Kawin
73,NaN,S2,NaN,Belum
74,71.0,SMA,NaN,Kawin
75,64.0,S1,8657412.0,Belum
76,68.0,SMA,6852233.0,Kawin
77,54.0,D3,5650197.0,Belum
78,NaN,SMA,6934904.0,Kawin
79,34.0,SMA,NaN,Kawin
80,20.0,SMA,5987428.0,Kawin
81,36.0,SMA,6693783.0,NaN
82,64.0,SMA,NaN,NaN
83,71.0,SMA,6252712.0,Kawin
84,NaN,D3,7559281.0,Belum
85,46.0,D3,8350120.0,Kawin
86,64.0,SMA,6315471.0,Kawin
87,65.0,SMA,5990733.0,NaN
88,22.0,SMA,NaN,Kawin
89,40.0,SMA,7695108.0,Belum
90,68.0,SMA,NaN,Kawin
91,39.0,SMA,4145545.0,Kawin
92,70.0,D3,7231981.0,Kawin
93,40.0,SMA,5081824.0,Kawin
94,58.0,S1,10667523.0,Belum
95,49.0,SMA,NaN,Kawin
